date,AAPL,AMZN,CSCO,DIS,GOOG,INTC,ITIC,JPM,KO,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,V,VZ,XOM
2023-06-11,0.3181818181818182,0.25,0.13636363636363635,0.10000000000000002,0.0,-0.1625,0.25,0.075,-0.04444444444444445,-0.033333333333333326,0.12196969696969696,0.0,-0.07727272727272728,0.0,0.13636363636363635,0.13028138528138528,-0.08333333333333334,0.19999999999999998,0.0,-0.3
2023-06-12,0.3181818181818182,0.25,0.0,0.375,0.0,-0.1625,0.25,0.0,0.3,-0.2,0.12196969696969696,0.0,0.46666666666666673,0.0,0.13636363636363635,0.06818181818181818,-0.08333333333333334,0.19999999999999998,0.06818181818181818,-0.5375
2023-06-13,0.2590909090909091,-0.07142857142857142,0.2,0.12083333333333333,0.025,-0.1625,0.25,0.0,0.55,0.275,0.0,0.0,0.0,0.0,-0.0625,0.06818181818181818,0.11111111111111112,0.19999999999999998,0.06818181818181818,-0.5375
2023-06-14,0.10238095238095238,0.36363636363636365,-0.009595959595959602,0.45833333333333337,-0.04128787878787879,-0.1625,0.25,0.09305555555555556,0.05871212121212121,0.3,0.0,0.0,-1.0,0.1,-0.02291666666666667,0.06818181818181818,0.035416666666666666,0.19999999999999998,0.06818181818181818,0.0
2023-06-15,0.1625,0.2558333333333333,-0.009595959595959602,0.029307659932659928,0.15,-0.1625,0.25,0.07083333333333333,0.0,0.3,0.35,0.0,0.0,0.1,-0.02291666666666667,0.44659090909090904,0.12142857142857143,0.06818181818181818,0.06818181818181818,-0.08636363636363635
2023-06-16,0.1625,0.2558333333333333,0.0,0.010493827160493826,0.35,-0.1625,0.25,0.07083333333333333,0.4840909090909091,0.0,0.35,0.0,0.0,0.1,0.2,0.25,0.25,-0.016666666666666663,0.06818181818181818,0.0
2023-06-17,0.1625,0.2558333333333333,0.0,0.010493827160493826,0.35,-0.1625,0.25,0.07083333333333333,0.4840909090909091,0.0,0.35,0.0,0.0,0.1,0.2,0.25,0.25,0.39999999999999997,0.20000000000000004,0.0
2023-06-18,0.1625,0.2558333333333333,0.0,0.010493827160493826,0.35,-0.1625,0.25,0.07083333333333333,0.35,0.0,0.35,0.0,0.0,0.1,0.2,0.25,0.25,0.39999999999999997,0.20000000000000004,0.25
2023-06-19,0.1625,-0.05729166666666667,0.0,0.010493827160493826,0.15666666666666665,-0.1625,0.25,0.0,0.5,0.0,0.3,0.0,0.0,0.1,0.2,0.05,0.25,0.39999999999999997,0.20000000000000004,0.25
2023-06-20,0.2,0.07878787878787878,0.0,0.010493827160493826,0.0,-0.1625,0.25,0.0,0.2,0.0,-0.05,0.0,0.016666666666666663,0.2643939393939394,0.2,0.13257575757575757,0.25,-0.016666666666666666,0.25,0.0
